internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
2900,2712167,Arborvitae-Green Giant,Thuja,41.691589400,-73.899452200,009b04
2906,2870559,Sassafras-Common,Sassafras,41.688320200,-73.892898600,009b04
48,807409,Pine-Eastern White,Pinus,41.690369535,-73.896442806,009b04
56,807417,Maple-Red,Acer,41.689876402,-73.897187442,009b04
79,807440,Maple-Japanese,Acer,41.688873647,-73.896851897,009b04
94,807455,Maple-Japanese,Acer,41.688878320,-73.896862636,009b04
103,807464,Beech-European,Fagus,41.688157258,-73.897273662,009b04
121,807482,Katsuratree,Cercidiphyllum,41.688484982,-73.897829731,ffff00
124,807485,Honeylocust-Thornless Common,Gleditsia,41.688867723,-73.897499320,009b04
157,807518,Maple-Paperbark,Acer,41.689986182,-73.898306014,009b04
158,807519,Maple-Paperbark,Acer,41.690003293,-73.898254156,009b04
177,807872,Pine-Eastern White,Pinus,41.691208838,-73.898147251,009b04
214,807909,Maple-Norway,Acer,41.691409425,-73.899054744,009b04
224,807919,Yellowwood-American,Cladrastis,41.691533734,-73.899177832,009b04
226,807921,Larch,Larix,41.691419981,-73.899258044,009b04
256,807951,Linden,Tilia,41.691641843,-73.900009281,009b04
275,808778,Hawthorn,Crataegus,41.691510569,-73.900178342,009b04
281,808784,Pine-Eastern White,Pinus,41.691375348,-73.900039756,009b04
292,808795,Oak-Chinkapin,Quercus,41.691088406,-73.899825058,009b04
300,808804,Spruce-Norway,Picea,41.690733870,-73.899687389,009b04
308,808812,Spruce-Norway,Picea,41.690651651,-73.899617101,009b04
318,808822,Pine-Eastern White,Pinus,41.690384530,-73.899747747,009b04
319,808823,Pine-Eastern White,Pinus,41.690391982,-73.899730171,009b04
328,808832,Pine-Eastern White,Pinus,41.690216724,-73.899642872,009b04
334,808838,Pine-Eastern White,Pinus,41.689993615,-73.899556416,009b04
352,808856,Spruce-Norway,Picea,41.689526247,-73.899150153,009b04
361,808865,Pine-Eastern White,Pinus,41.689435557,-73.899122815,009b04
383,808887,Pine-Eastern White,Pinus,41.688819180,-73.898901448,009b04
396,808900,Pine-Eastern White,Pinus,41.688632202,-73.898877556,009b04
405,809625,Oak-Northern Red,Quercus,41.688819169,-73.899120906,009b04
409,809629,Oak-Northern Red,Quercus,41.688521054,-73.898922083,009b04
451,809671,Cherry,Prunus,41.686327432,-73.897920404,009b04
468,809688,Beech-European,Fagus,41.686368770,-73.897208074,009b04
476,809696,Birch-River,Betula,41.686485800,-73.897400003,009b04
488,809708,Falsecypress-Hinoki,Chamaecyparis,41.686100427,-73.897732678,009b04
